Region,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2017,2018,2019,2021,2022,2023,2024
Middle East & North Africa,Historical,Area|Forest|Age Class|0-20,Million ha,0.0097,,,,,,,0.0098,0.0098,0.0097,0.0083,0.0083,0.0083,0.0083
Middle East & North Africa,Historical,Area|Forest|Age Class|21-40,Million ha,0.1156,,,,,,,0.1543,0.1384,0.1266,0.061399999999999996,0.0579,0.0551,0.053899999999999997
Middle East & North Africa,Historical,Area|Forest|Age Class|41-60,Million ha,1.9464,,,,,,,2.2674,2.1691000000000003,2.0575,1.6103999999999998,1.4914,1.3685,1.2528000000000001
Middle East & North Africa,Historical,Area|Forest|Age Class|61+,Million ha,12.6572,,,,,,,12.2974,12.4116,12.5351,13.0488,13.1713,13.297,13.4139
Middle East & North Africa,Historical,Carbon Stock|Forest|Total,Mt C,474.9161735663953,,,,,,,467.3966408162712,470.04685464683564,472.5505214201018,477.152107658157,479.26612774744063,481.2654169201794,483.1565585918554
Middle East & North Africa,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-8.674057869742724,,,,,,,-10.285886024160524,-9.71745071206952,-9.180111501976079,-8.198425003126102,-7.751406994040172,-7.330726966708881,-6.934186129478597
Oceania,Historical,Area|Forest|Age Class|0-20,Million ha,3.9089,,,,,,,5.510800000000001,4.8881,4.3355,2.5875,2.3032,2.0923,1.9214
Oceania,Historical,Area|Forest|Age Class|21-40,Million ha,14.2934,,,,,,,13.186399999999999,13.6502,14.036299999999999,13.5411,13.6619,13.7081,13.708900000000002
Oceania,Historical,Area|Forest|Age Class|41-60,Million ha,11.5494,,,,,,,12.180200000000001,11.9603,11.749600000000001,11.5799,11.428799999999999,11.296000000000001,11.1697
Oceania,Historical,Area|Forest|Age Class|61+,Million ha,84.6846,,,,,,,83.5589,83.93769999999999,84.3149,86.7278,87.0424,87.33989999999999,87.6363
Oceania,Historical,Carbon Stock|Forest|Total,Mt C,11555.159711538134,,,,,,,11361.32160538285,11427.136003862079,11491.754665987803,11617.335762032171,11678.269917112777,11737.951736592386,11796.373231461477
Oceania,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-232.48516701788705,,,,,,,-245.62901135538158,-241.3194610905092,-236.93509446098435,-227.97885181146626,-223.4252352955564,-218.83333809189668,-214.21214785333902
ROW,Historical,Area|Forest|Age Class|0-20,Million ha,8.3474,,,,,,,9.2233,8.897,8.6084,5.1453999999999995,4.9188,4.6849,4.4542
ROW,Historical,Area|Forest|Age Class|21-40,Million ha,10.7432,,,,,,,10.434899999999999,10.5704,10.6621,12.8335,12.8745,12.915700000000001,12.9365
ROW,Historical,Area|Forest|Age Class|41-60,Million ha,7.710500000000001,,,,,,,7.6871,7.685899999999999,7.7061,7.5855,7.5982,7.6171,7.6552999999999995
ROW,Historical,Area|Forest|Age Class|61+,Million ha,28.2742,,,,,,,27.73,27.922,28.098699999999997,29.5109,29.6838,29.857599999999998,30.0293
ROW,Historical,Carbon Stock|Forest|Total,Mt C,2032.8121480996579,,,,,,,1916.0807629387307,1955.852100661372,1994.8049665274682,2069.7715661005686,2105.6044850906565,2140.2534938324147,2173.6805424806203
ROW,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-139.3596657646956,,,,,,,-148.28655066529393,-145.82823831635142,-142.8271748423523,-135.51786600333895,-131.38736963032278,-127.04636538644624,-122.5658450434199
Republic of Korea,Historical,Area|Forest|Age Class|0-20,Million ha,2.7705,,,,,,,3.1666,3.0218,2.8866,1.425,1.3734,1.3469,1.3339
Republic of Korea,Historical,Area|Forest|Age Class|21-40,Million ha,3.0511,,,,,,,2.7145,2.8396,2.9566,4.3064,4.3321,4.3293,4.3082
Republic of Korea,Historical,Area|Forest|Age Class|41-60,Million ha,0.2196,,,,,,,0.1613,0.1808,0.1985,0.3061,0.3308,0.3593,0.3925
Republic of Korea,Historical,Area|Forest|Age Class|61+,Million ha,0.0056,,,,,,,0.0044,0.0046,0.0051,0.0093,0.0105,0.0113,0.0122
Republic of Korea,Historical,Carbon Stock|Forest|Total,Mt C,276.51410383830205,,,,,,,245.9021543291932,256.349063346084,266.562629570752,286.1795522572193,295.5396461935632,304.57936185836587,313.28763391548927
Republic of Korea,Historical,Emissions|CO2|Land Use|Forestry,Mt CO2/yr,-36.48873898101687,,,,,,,-39.037703339377785,-38.30533306193304,-37.44974282378266,-35.43997753602997,-34.32034443326076,-33.145624104276614,-31.930330876119115
Russia and Neighboring Transition Countries,Historical,Area|Forest|Age Class|0-20,Million ha,4.3016,,,,,,,4.3257,4.3132,4.3056,3.5034,3.5017,3.5006,3.4997
